city_id,year,month,avg_temperature
lon,2019,3,50.0
lon,2019,4,50.52
lon,2019,5,57.05
lon,2019,6,63.02
lon,2019,7,68.93
lon,2019,8,67.52
lon,2019,9,62.04
lon,2019,10,54.56
lon,2019,11,46.78
lon,2019,12,46.36
nyc,2019,1,31.54
nyc,2019,2,35.23
nyc,2019,3,41.03
nyc,2019,4,54.87
nyc,2019,5,62.03
nyc,2019,6,72.39
nyc,2019,7,80.29
nyc,2019,8,75.73
nyc,2019,9,70.11
nyc,2019,10,59.82
nyc,2019,11,42.04
nyc,2019,12,37.22
sel,2019,1,27.92
sel,2019,2,31.91
sel,2019,3,42.56
sel,2019,4,52.19
sel,2019,5,65.18
sel,2019,6,71.2
sel,2019,7,78.0
sel,2019,8,80.33
sel,2019,9,71.76
sel,2019,10,60.08
sel,2019,11,41.34
sel,2019,12,32.09
sfo,2019,1,54.21
sfo,2019,2,49.75
sfo,2019,3,53.86
sfo,2019,4,57.38
sfo,2019,5,57.31
sfo,2019,6,63.43
sfo,2019,7,62.98
sfo,2019,8,66.42
sfo,2019,9,66.33
sfo,2019,10,62.35
sfo,2019,11,54.85
sfo,2019,12,53.41
sgp,2019,1,82.29
sgp,2019,2,82.75
sgp,2019,3,83.64
sgp,2019,4,83.45
sgp,2019,5,84.08
sgp,2019,6,82.85
sgp,2019,7,83.95
sgp,2019,8,84.78
sgp,2019,9,84.18
sgp,2019,10,82.11
sgp,2019,11,82.04
sgp,2019,12,80.2
syd,2019,1,76.55
syd,2019,2,74.42
syd,2019,3,72.82
syd,2019,4,68.22
syd,2019,5,63.01
syd,2019,6,57.15
syd,2019,7,57.45
syd,2019,8,57.36
syd,2019,9,62.04
syd,2019,10,66.84
syd,2019,11,70.41
syd,2019,12,72.7
tpe,2019,1,65.88
tpe,2019,2,66.2
tpe,2019,3,68.06
tpe,2019,4,76.35
tpe,2019,5,77.41
tpe,2019,6,84.33
tpe,2019,7,87.9
tpe,2019,8,87.56
tpe,2019,9,81.65
tpe,2019,10,78.19
tpe,2019,11,72.05
tpe,2019,12,67.0
tyo,2019,1,44.43
tyo,2019,2,46.32
tyo,2019,3,52.01
tyo,2019,4,57.22
tyo,2019,5,68.05
tyo,2019,6,71.7
tyo,2019,7,75.6
tyo,2019,8,83.63
tyo,2019,9,77.7
tyo,2019,10,68.25
tyo,2019,11,57.87
tyo,2019,12,49.8
yvr,2019,1,41.36
yvr,2019,2,33.3
yvr,2019,3,42.95
yvr,2019,4,49.52
yvr,2019,5,57.65
yvr,2019,6,61.69
yvr,2019,7,65.17
yvr,2019,8,65.51
yvr,2019,9,59.63
yvr,2019,10,47.83
yvr,2019,11,42.35
yvr,2019,12,42.21
bkk,2020,1,84.25
bkk,2020,2,84.39
bkk,2020,3,87.24
bkk,2020,4,87.6
bkk,2020,5,88.66
bkk,2020,6,85.78
bkk,2020,7,85.34
bkk,2020,8,84.82
bkk,2020,9,84.33
bkk,2020,10,80.99
bkk,2020,11,82.66
bkk,2020,12,80.61
lon,2020,1,47.27
lon,2020,2,47.39
lon,2020,3,46.91
lon,2020,4,53.98
lon,2020,5,59.74
lon,2020,6,63.45
lon,2020,7,65.95
lon,2020,8,68.74
lon,2020,9,62.18
lon,2020,10,54.48
lon,2020,11,50.87
lon,2020,12,44.71
nyc,2020,1,38.83
nyc,2020,2,37.93
nyc,2020,3,45.81
nyc,2020,4,48.7
nyc,2020,5,59.51
nyc,2020,6,72.97
nyc,2020,7,79.52
nyc,2020,8,76.19
nyc,2020,9,67.83
nyc,2020,10,56.57
nyc,2020,11,49.73
nyc,2020,12,36.91
sel,2020,1,32.6
sel,2020,2,33.33
sel,2020,3,42.42
sel,2020,4,50.06
sel,2020,5,60.18
sel,2020,6,69.99
sel,2020,7,70.81
sel,2020,8,70.46
sel,2020,9,67.49
sel,2020,10,56.05
sel,2020,11,45.18
sel,2020,12,30.12
sfo,2020,1,52.23
sfo,2020,2,54.08
sfo,2020,3,54.18
sfo,2020,4,56.43
sfo,2020,5,60.62
sfo,2020,6,62.59
sfo,2020,7,61.83
sfo,2020,8,64.86
sfo,2020,9,65.91
sfo,2020,10,64.09
sfo,2020,11,54.67
sfo,2020,12,52.65
sgp,2020,1,82.08
sgp,2020,2,82.14
sgp,2020,3,83.45
sgp,2020,4,83.59
sgp,2020,5,83.87
sgp,2020,6,82.35
sgp,2020,7,82.15
sgp,2020,8,82.94
sgp,2020,9,81.23
sgp,2020,10,82.7
sgp,2020,11,80.9
sgp,2020,12,80.86
syd,2020,1,75.62
syd,2020,2,73.69
syd,2020,3,70.01
syd,2020,4,67.24
syd,2020,5,59.99
syd,2020,6,56.89
syd,2020,7,56.5
syd,2020,8,57.27
syd,2020,9,63.65
syd,2020,10,66.52
syd,2020,11,70.57
syd,2020,12,71.16
tpe,2020,1,64.73
tpe,2020,2,66.28
tpe,2020,3,69.8
tpe,2020,4,69.86
tpe,2020,5,80.89
tpe,2020,6,88.42
tpe,2020,7,89.12
tpe,2020,8,87.55
tpe,2020,9,83.45
tpe,2020,10,76.77
tpe,2020,11,74.5
tpe,2020,12,65.1
tyo,2020,1,46.84
tyo,2020,2,48.39
tyo,2020,3,52.58
tyo,2020,4,56.32
tyo,2020,5,67.32
tyo,2020,6,73.92
tyo,2020,7,76.34
tyo,2020,8,84.57
tyo,2020,9,76.82
tyo,2020,10,64.94
tyo,2020,11,59.19
tyo,2020,12,48.29
yvr,2020,1,40.78
yvr,2020,2,40.38
yvr,2020,3,41.99
yvr,2020,4,49.23
yvr,2020,5,56.52
yvr,2020,6,59.5
yvr,2020,7,63.69
yvr,2020,8,64.47
yvr,2020,9,61.34
yvr,2020,10,50.78
yvr,2020,11,43.85
yvr,2020,12,41.73
bkk,2021,1,78.47
bkk,2021,2,83.0
bkk,2021,3,86.49
bkk,2021,4,84.79
bkk,2021,5,86.66
bkk,2021,6,87.1
bkk,2021,7,84.83
bkk,2021,8,84.64
bkk,2021,9,82.57
bkk,2021,10,82.63
bkk,2021,11,83.06
bkk,2021,12,79.99
lon,2021,1,40.8
lon,2021,2,43.65
lon,2021,3,46.63
lon,2021,4,45.99
lon,2021,5,53.17
lon,2021,6,64.39
lon,2021,7,66.2
lon,2021,8,63.24
lon,2021,9,63.38
lon,2021,10,56.25
lon,2021,11,48.2
lon,2021,12,46.93
nyc,2021,1,32.47
nyc,2021,2,32.31
nyc,2021,3,43.93
nyc,2021,4,52.89
nyc,2021,5,61.34
nyc,2021,6,73.32
nyc,2021,7,75.04
nyc,2021,8,76.1
nyc,2021,9,69.16
nyc,2021,10,61.17
nyc,2021,11,44.21
nyc,2021,12,41.98
sel,2021,1,26.35
sel,2021,2,35.21
sel,2021,3,45.84
sel,2021,4,56.12
sel,2021,5,62.03
sel,2021,6,72.03
sel,2021,7,81.49
sel,2021,8,78.13
sel,2021,9,72.23
sel,2021,10,59.07
sel,2021,11,45.18
sel,2021,12,31.86
sfo,2021,1,52.74
sfo,2021,2,54.24
sfo,2021,3,54.13
sfo,2021,4,55.78
sfo,2021,5,58.23
sfo,2021,6,64.06
sfo,2021,7,62.26
sfo,2021,8,63.19
sfo,2021,9,62.72
sfo,2021,10,60.62
sfo,2021,11,57.78
sfo,2021,12,50.62
sgp,2021,1,78.63
sgp,2021,2,81.05
sgp,2021,3,81.69
sgp,2021,4,82.15
sgp,2021,5,83.12
sgp,2021,6,82.75
sgp,2021,7,83.19
sgp,2021,8,81.23
sgp,2021,9,82.12
sgp,2021,10,82.85
sgp,2021,11,81.09
sgp,2021,12,81.54
syd,2021,1,73.54
syd,2021,2,72.08
syd,2021,3,70.35
syd,2021,4,65.74
syd,2021,5,61.14
syd,2021,6,56.33
syd,2021,7,55.67
syd,2021,8,58.53
syd,2021,9,62.07
syd,2021,10,65.34
syd,2021,11,66.11
syd,2021,12,70.27
tpe,2021,1,61.72
tpe,2021,2,67.45
tpe,2021,3,69.36
tpe,2021,4,73.41
tpe,2021,5,84.09
tpe,2021,6,86.86
tpe,2021,7,88.54
tpe,2021,8,85.79
tpe,2021,9,85.94
tpe,2021,10,78.15
tpe,2021,11,70.72
tpe,2021,12,65.57
tyo,2021,1,43.62
tyo,2021,2,48.68
tyo,2021,3,55.61
tyo,2021,4,59.9
tyo,2021,5,67.79
tyo,2021,6,73.19
tyo,2021,7,79.07
tyo,2021,8,81.91
tyo,2021,9,73.08
tyo,2021,10,66.12
tyo,2021,11,58.71
tyo,2021,12,48.3
yvr,2021,1,41.74
yvr,2021,2,38.44
yvr,2021,3,43.62
yvr,2021,4,49.51
yvr,2021,5,54.81
yvr,2021,6,63.87
yvr,2021,7,66.69
yvr,2021,8,64.5
yvr,2021,9,56.34
yvr,2021,10,49.84
yvr,2021,11,46.0
yvr,2021,12,33.7
bkk,2022,1,82.43
bkk,2022,2,82.25
bkk,2022,3,85.8
bkk,2022,4,86.0
bkk,2022,5,84.49
bkk,2022,6,85.57
bkk,2022,7,84.59
bkk,2022,8,83.63
bkk,2022,9,82.48
bkk,2022,10,82.55
bkk,2022,11,83.21
bkk,2022,12,79.86
lon,2022,1,42.59
lon,2022,2,47.54
lon,2022,3,48.03
lon,2022,4,51.4
lon,2022,5,58.9
lon,2022,6,63.53
lon,2022,7,70.13
lon,2022,8,69.96
lon,2022,9,61.25
lon,2022,10,58.56
lon,2022,11,51.42
lon,2022,12,42.47
nyc,2022,1,28.53
nyc,2022,2,34.97
nyc,2022,3,43.61
nyc,2022,4,51.31
nyc,2022,5,63.44
nyc,2022,6,70.77
nyc,2022,7,78.87
nyc,2022,8,78.29
nyc,2022,9,66.41
nyc,2022,10,55.29
nyc,2022,11,48.24
nyc,2022,12,36.95
sel,2022,1,26.3
sel,2022,2,28.39
sel,2022,3,44.12
sel,2022,4,56.38
sel,2022,5,64.19
sel,2022,6,72.75
sel,2022,7,80.35
sel,2022,8,77.65
sel,2022,9,71.05
sel,2022,10,56.37
sel,2022,11,48.0
sel,2022,12,25.67
sfo,2022,1,51.62
sfo,2022,2,53.48
sfo,2022,3,54.17
sfo,2022,4,56.42
sfo,2022,5,58.63
sfo,2022,6,62.76
sfo,2022,7,62.07
sfo,2022,8,64.84
sfo,2022,9,65.76
sfo,2022,10,59.53
sfo,2022,11,53.09
sfo,2022,12,50.37
sgp,2022,1,81.44
sgp,2022,2,80.86
sgp,2022,3,82.12
sgp,2022,4,81.85
sgp,2022,5,83.71
sgp,2022,6,81.53
sgp,2022,7,83.04
sgp,2022,8,81.9
sgp,2022,9,81.54
sgp,2022,10,80.86
sgp,2022,11,80.59
sgp,2022,12,79.77
syd,2022,1,74.62
syd,2022,2,72.89
syd,2022,3,70.18
syd,2022,4,66.65
syd,2022,5,61.69
syd,2022,6,55.3
syd,2022,7,55.59
syd,2022,8,58.4
syd,2022,9,60.87
syd,2022,10,64.97
syd,2022,11,66.7
syd,2022,12,68.53
tpe,2022,1,63.38
tpe,2022,2,61.67
tpe,2022,3,70.3
tpe,2022,4,72.8
tpe,2022,5,74.38
tpe,2022,6,83.72
tpe,2022,7,88.34
tpe,2022,8,88.15
tpe,2022,9,81.48
tpe,2022,10,75.67
tpe,2022,11,74.79
tpe,2022,12,61.9
tyo,2022,1,42.6
tyo,2022,2,43.01
tyo,2022,3,52.1
tyo,2022,4,59.65
tyo,2022,5,66.5
tyo,2022,6,73.12
tyo,2022,7,81.33
tyo,2022,8,81.92
tyo,2022,9,76.36
tyo,2022,10,64.92
tyo,2022,11,60.22
tyo,2022,12,48.02
yvr,2022,1,39.27
yvr,2022,2,40.32
yvr,2022,3,44.86
yvr,2022,4,46.34
yvr,2022,5,52.35
yvr,2022,6,59.96
yvr,2022,7,65.96
yvr,2022,8,67.72
yvr,2022,9,61.14
yvr,2022,10,53.85
yvr,2022,11,38.66
yvr,2022,12,34.9
bkk,2023,1,79.53
bkk,2023,2,83.21
bkk,2023,3,85.93
bkk,2023,4,89.13
bkk,2023,5,89.64
bkk,2023,6,87.71
bkk,2023,7,86.19
bkk,2023,8,85.9
bkk,2023,9,84.51
bkk,2023,10,84.27
bkk,2023,11,82.94
bkk,2023,12,82.97
lon,2023,1,43.65
lon,2023,2,45.23
lon,2023,3,47.13
lon,2023,4,49.66
lon,2023,5,55.86
